﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,,,
spotify:track:5uO70qQnUb6FEK16ETi3Vy,Lion in the Morning Sun,Will And The People,Will and the People,1,4,215026,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman,Tal Bachman,1,2,224693,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1MvO9TWERHsXvW3fhKxAB2,Whistleblower,Will And The People,Whistleblower,1,12,233720,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3FM33HqRlV7J1QJoPOnd2u,1901,Phoenix,Wolfgang Amadeus Phoenix,1,2,193106,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:577YBGuskWkVDCxZrLRB4v,Pure Cocaine,Lil Baby,Street Gossip,1,2,154023,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:21Ay8Y9Pr91nSauPGtK6MW,Barely Legal,The Strokes,Is This It,1,4,234693,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0seTertVGvHrEJu7hlIWRq,Take It Or Leave It,The Strokes,Is This It,1,11,196066,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6gU7ohksNd6LsEJMWfDRhp,Soma,The Strokes,Is This It,1,3,153840,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1420BGhbXGkIJtbtBlfpYE,The Modern Age,The Strokes,Is This It,1,2,208066,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3iiObSfkcBsETljmSB4Hcs,When It Started,The Strokes,Is This It,1,9,175200,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0jBE7Fn78EAvmIs3dCd6GO,Is This It,The Strokes,Is This It,1,1,151333,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,channel ORANGE,1,11,234093,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7CmU7JYRrW3AVko82AnZgo,Lemon Drop,Logic,Supermarket (Soundtrack),1,9,133613,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:5JDwLHI2YUkFSFSn4g5pGd,Can I Kick It,"Logic, Juto",Supermarket (Soundtrack),1,2,201546,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7pudclCl5P99Me3P5F9hPC,Paradise,Lil Uzi Vert,Luv Is Rage,1,12,172703,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
